Sentence,Departure City,Arrival City,Trip Validity,Intermediate City
"Je suis à Lyon et je veux partir pour Marseille cet après-midi.","Lyon","Marseille","1","None"
"Je me trouve à Bordeaux et j'aimerais rejoindre Lille ce soir.","Bordeaux","Lille","1","None"
"Je suis actuellement à Nice et je souhaite aller à Toulouse demain matin.","Nice","Toulouse","1","None"
"Je suis à Paris et je veux prendre un vol pour New York.","Paris","None","0","None"
"Je suis à Nantes et je veux rejoindre la Lune en fusée.","Nantes","None","0","None"
"Je me trouve à Marseille et je veux aller à Bordeaux en trottinette.","Marseille","Bordeaux","0","None"
"Je suis à Lille et je veux voyager vers Montpellier en bateau.","Lille","Montpellier","0","None"
"Je suis à Strasbourg et je veux aller à Paris à dos de chameau.","Strasbourg","Paris","0","None"
"Après avoir passé la nuit à Paris je partirai demain pour Berlin.","Paris","None","0","None"
"Mon voyage commencera à Lyon et se terminera à Amsterdam.","Lyon","None","0","None"
"Je dois quitter Marseille afin de rejoindre Bruxelles pour une réunion.","Marseille","None","0","None"
"En provenance de Nice, je me dirigerai vers Genève en train.","Nice","None","0","None"
"Ayant séjourné à Bordeaux, je compte me rendre à Lisbonne en voiture.","Bordeaux","None","0","None"
"Je suis basé à Lille mais je dois me déplacer jusqu'à Madrid.","Lille","None","0","None"
"Mon point de départ est Strasbourg, avec une destination finale à Rome.","Strasbourg","None","0","None"
"Je quitterai Nantes pour atteindre Prague via un vol direct.","Nantes","None","0","None"
"Après mon départ de Toulouse je compte aller à Vienne.","Toulouse","Vienne","1","None"
"Partant de Grenoble mon chemin me mènera à Copenhague.","Grenoble","None","0","None"
"Je suis actuellement à Montpellier et je prévois d'aller à Oslo.","Montpellier","None","0","None"
"Résidant à Rennes je dois aller à Stockholm la semaine prochaine.","Rennes","None","0","None"
"Je m'apprête à quitter Brest pour rejoindre Helsinki.","Brest","None","0","None"
"De Dijon je souhaite me rendre à Dublin en ferry.","Dijon","None","0","None"
"Je compte partir de Limoges pour aller à Athènes en montgolfière.","Limoges","None","0","None"
"En quittant Perpignan je voyagerai jusqu'à Moscou en hélicoptère.","Perpignan","None","0","None"
"Je vais quitter Metz pour atteindre Le Caire en sous-marin.","Metz","None","0","None"
"Mon voyage débutera à Tours et se terminera à Sydney en fusée.","Tours","None","0","None"
"Je prévois de partir de Reims pour aller à Tokyo en trottinette.","Reims","None","0","None"
"Je suis à Clermont-Ferrand et je souhaite rejoindre Pékin à vélo.","Clermont-Ferrand","None","0","None"
"Je suis à Strasbourg il fait quel temps à Paris.","Strasbourg","Paris","0","None"
"Je vais de Paris à Marseille en passant par Lyon.","Paris","Marseille","1","Lyon"
"Je suis à Strasbourg et je veux aller à Marseille.","Strasbourg","Marseille","1","None"
"Je vais à Lyon depuis Strasbourg en passant par Metz.","Strasbourg","Lyon","1","Metz"
"Je voudrais un billet de train pour Lyon depuis Marseille.","Marseille","Lyon","1","None"
"Je vais à Grenoble depuis Strasbourg en passant par Metz","Strasbourg","Grenoble","1","Metz"
"Quelle est la météo à Tours aujourd'hui?","Tours","None","0","None"
"Réserve un vol pour New York depuis Paris.","Paris","None","0","None"
"Je prends le train de SAINTE-COLOMBE-SUR-SEINE à Bordeaux.","SAINTE-COLOMBE-SUR-SEINE","Bordeaux","1","None"
